"","Basal_1","Basal_2","Basal_3","Luminal_1","Luminal_2","Luminal_3"
"ENSG00000000003",2743.5577752094,2586.30695605305,1909.20427042332,5468.24348984188,6195.0573977634,5340.2504194059
"ENSG00000000419",5183.56917776999,3858.53884468162,4307.26342665703,4036.63042668546,2644.71087880525,3699.66241435275
"ENSG00000000457",1798.89281018136,1606.97731899598,1458.34860893014,3374.65892673013,2550.21900075882,2793.95270854399
"ENSG00000000460",549.786055476036,399.502730884929,467.287758495219,823.476594823955,537.223486421299,620.653749293057
"ENSG00000000938",16.1175065123268,92.6527530481256,26.7021576282982,8.97250527047893,35.0363143318239,8.08669380186393
"ENSG00000000971",4315.91007718973,3637.36775676029,2018.06691306177,6813.12233538366,3766.93464391852,2155.10389819674
"ENSG00000001036",1204.3359032822,1148.6948845644,1379.26914210787,2542.2098266357,1661.57066452437,2130.84381679115
"ENSG00000001084",1464.00684153635,3682.19973404164,2218.33309527401,1190.35236588354,1540.53612410535,1260.51339636554
"ENSG00000001167",2426.58014713364,2431.88570097284,2917.7242239229,2333.84831535457,2489.7017305493,2759.58425988607
"ENSG00000001460",277.579278823406,828.893446624091,261.886545969848,306.062124226337,1007.55946366366,445.778995827749
"ENSG00000001461",3225.29213652228,5340.98289345163,1940.01445230213,7175.01338129298,8567.97141387329,4858.08130146976
"ENSG00000001497",4052.65747082172,2257.53912265648,2979.34458768051,1766.5865932543,1105.23646119481,1782.10514658576
"ENSG00000001561",1782.77530366904,2048.32322867684,1300.1896752856,6561.89218781026,7375.67502009638,4257.64428668136
"ENSG00000001617",2439.11598553212,8334.76270968407,2792.42948428242,1497.41143513993,2736.01763736697,1646.65302540454
"ENSG00000001626",2484.78225398371,410.461658664814,429.288534178026,13469.724301049,2706.28985550967,4523.49434541764
"ENSG00000001629",8604.06222649712,8203.25557632544,7558.76462093366,8995.43500617015,8736.78274656299,8073.5529244359
"ENSG00000001630",16919.8001698293,8981.33944869734,12634.2285824356,25842.8090690394,8253.70629138178,21819.9215508794
"ENSG00000001631",922.279539316477,934.497659775718,957.169650368229,892.265801897627,912.005879122324,968.381582773206
"ENSG00000002016",1258.06092498995,1025.15788050023,1146.13876589157,893.26274692768,842.99495695358,976.46827657507
"ENSG00000002079",42.9800173662048,83.6863575918554,316.317867289072,55.82892168298,140.145257327295,339.641139678285
"ENSG00000002330",1840.9774105191,1919.80489380363,1797.260609597,1572.18231239392,1797.46909587205,1746.72586120261
"ENSG00000002549",8396.32547589379,4069.74727098487,7766.21984558428,10936.4869796838,4728.84072830132,7784.45362101927
"ENSG00000002587",1427.29474336938,1158.65754618247,1417.26836642506,2199.26073629739,1160.4451989298,1626.43629089988
"ENSG00000002726",19.6991746261772,22.9141217215794,6.16203637576113,67.7922620436186,145.453789801814,83.8994481943383
"ENSG00000002746",26.862510853878,47.8207757667745,14.378084876776,32.8991859917561,30.7894883522089,14.1517141532619
"ENSG00000002822",2949.5036917558,2729.76928335338,2567.51515656714,1928.09168812292,1724.2113477237,1809.39773816706
"ENSG00000002834",4536.18266619153,8093.66629852658,5548.9137563729,8974.49916053903,10520.4496580013,8625.46977641312
"ENSG00000002919",1867.83992137298,1187.5492648749,1596.99442738476,1876.25054656015,1252.81366398643,1619.36043382325
